State,Year,CoCs,Population,CoCs_per_hundredthousands
MO,2019,8,6137428,0.13034776130978645
MS,2019,3,2976149,0.10080140476837685
MT,2019,1,1068778,0.09356480017365627
NC,2019,12,10488084,0.11441555960078123
ND,2019,1,762062,0.13122291887011817
NE,2019,3,1934408,0.15508620725307173
NH,2019,3,1359711,0.2206351202571723
NJ,2019,16,8882190,0.18013575480821734
NM,2019,2,2096829,0.0953821222426817
NV,2019,3,3080156,0.09739766427414716
NY,2019,27,19453561,0.13879206999685045
OH,2019,9,11689100,0.07699480712800814
OK,2019,8,3956971,0.2021748453551972
OR,2019,7,4217737,0.16596577738251578
PA,2019,16,12801989,0.12498057918968686
RI,2019,1,1059361,0.09439652771812442
SC,2019,4,5148714,0.07768930261032173
SD,2019,1,884659,0.11303790500068388
TN,2019,10,6829174,0.14643059321669064
TX,2019,11,28995881,0.03793642276294347
UT,2019,3,3205958,0.09357577360651637
VA,2019,16,8535519,0.18745198739525973
VT,2019,2,623989,0.320518470678169
WA,2019,6,7614893,0.07879296531152834
WI,2019,4,5822434,0.06869979118698469
WV,2019,4,1792147,0.22319597666932456
WY,2019,1,578759,0.17278349019194517
AK,2020,2,732964,0.2728646973111913
AL,2020,8,5031864,0.1589868088644685
AR,2020,4,3014348,0.13269867978083486
AZ,2020,3,7186683,0.0417438754429547
CA,2020,44,39503200,0.11138338159946536
CO,2020,4,5785219,0.06914172134192327
CT,2020,2,3577586,0.055903617690811626
DC,2020,1,670839,0.1490670637813246
DE,2020,1,991862,0.10082047704216918
FL,2020,27,21591299,0.12505037330083751
GA,2020,9,10732390,0.08385830183211754
HI,2020,2,1451181,0.13781878345981652
IA,2020,3,3190904,0.0940172440161158
ID,2020,2,1849339,0.10814674864911193
IL,2020,19,12790357,0.1485494110914965
IN,2020,2,6789098,0.029458994405442373
KS,2020,5,2938124,0.17017661609925244
KY,2020,3,4508155,0.06654607039908787
LA,2020,7,4652022,0.15047220326988994
MA,2020,13,6997713,0.18577498105452453
MD,2020,16,6173689,0.2591643343226392
ME,2020,1,1364517,0.07328600523115505
MI,2020,20,10070627,0.19859736638046468
MN,2020,10,5710578,0.17511362247394222
MO,2020,8,6154426,0.12998775190407683
MS,2020,3,2958409,0.10140585699948858
MT,2020,1,1087211,0.09197846600153972
NC,2020,12,10453812,0.11479066200922687
ND,2020,1,779563,0.12827699621454583
NE,2020,3,1963273,0.15280605397211697
NH,2020,3,1378702,0.2175959707028785
NJ,2020,16,9272392,0.17255525866464663
NM,2020,2,2118488,0.09440695439388846
NV,2020,3,3115840,0.09628222245044675
NY,2020,24,20104710,0.11937501212402467
OH,2020,9,11798292,0.07628222796994684
OK,2020,8,3965234,0.20175354090073877
OR,2020,8,4245044,0.18845505488282335
PA,2020,16,12995477,0.12311975928240264
RI,2020,1,1096444,0.09120392833560127
SC,2020,4,5132151,0.07794002943405212
SD,2020,1,887852,0.11263138451003095
TN,2020,10,6926091,0.1443815855148308
TX,2020,11,29234361,0.03762695548570396
UT,2020,3,3283982,0.0913525104583399
VA,2020,16,8637193,0.1852453684895081
VT,2020,2,642936,0.3110729528288974
WA,2020,6,7724566,0.07767426674844904
WI,2020,4,5896700,0.0678345515288212
WV,2020,4,1791562,0.22326885700857688
WY,2020,1,577664,0.17311101263017947
AK,2021,2,734923,0.2721373531648894
AL,2021,8,5050380,0.15840392208111073
AR,2021,5,3028443,0.1651013408540296
AZ,2021,3,7272487,0.04125136284189989
CA,2021,44,39145060,0.11240243341049931
CO,2021,4,5811596,0.06882790889112045
CT,2021,2,3603691,0.05549865401889341
DC,2021,1,669037,0.1494685645188532
DE,2021,1,1004881,0.09951427084401039
FL,2021,27,21830708,0.12367899382832659
GA,2021,9,10790385,0.08340758925654645
HI,2021,2,1446745,0.13824136250686886
IA,2021,3,3197944,0.09381027310046705
ID,2021,2,1904537,0.10501239933905196
IL,2021,19,12690341,0.14972016906401492
IN,2021,2,6813798,0.029352205627463566
KS,2021,5,2937946,0.1701869265126044
KY,2021,3,4507600,0.06655426390984116
LA,2021,7,4627047,0.15128439369645477
MA,2021,12,6991951,0.17162591671480534
MD,2021,12,6175045,0.19433056763149095
ME,2021,1,1378787,0.07252751875380316
MI,2021,20,10038117,0.19924055477735517
MN,2021,10,5717968,0.17488730262219027
MO,2021,8,6170393,0.12965138525212253
MS,2021,3,2949582,0.10170932694869984
MT,2021,1,1106366,0.0903860024621147
NC,2021,12,10567100,0.11356001173453455
ND,2021,1,777982,0.1285376782496253
NE,2021,3,1964253,0.15272981637294178
NH,2021,3,1387494,0.21621715120930252
NJ,2021,16,9269175,0.17261514643967774
NM,2021,2,2116950,0.09447554264389806
NV,2021,3,3146632,0.09534003340714771
NY,2021,24,19854526,0.12087923932306417
OH,2021,9,11765227,0.07649661158258995
OK,2021,8,3991634,0.20041917670808496
OR,2021,8,4256465,0.18794938992802712
PA,2021,16,13013614,0.12294816797240182
RI,2021,1,1097092,0.09115005851833757
SC,2021,4,5193848,0.07701419063476636
SD,2021,1,896299,0.11156991138001938
TN,2021,10,6963709,0.1436016352779819
TX,2021,11,29561286,0.037210830408392924
UT,2021,3,3339284,0.08983961831338694
VA,2021,16,8657348,0.18481410242489962
VT,2021,2,647093,0.3090745843333184
WA,2021,6,7741433,0.07750503039941055
WI,2021,4,5879978,0.06802746540888419
WV,2021,4,1785249,0.2240583806516626
WY,2021,1,579548,0.17254826174881113
AK,2022,2,733276,0.27274859670846996
AL,2022,8,5073903,0.15766954945729156
AR,2022,5,3046404,0.16412793575638687
AZ,2022,3,7365684,0.04072941494639194
CA,2022,44,39040616,0.11270313972504942
CO,2022,4,5841039,0.06848096717039553
CT,2022,2,3608706,0.05542152782742623
DC,2022,1,670949,0.14904262470023802
DE,2022,1,1019459,0.09809124251195978
FL,2022,27,22245521,0.12137274734990473
