governor,state,time_in_office,party,year
Bill Owens,Colorado,1999 - 2007,Republican,2006
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2006
Jeb Bush,Florida,1999 - 2007,Republican,2006
Kenny Guinn,Nevada,1999 - 2007,Republican,2006
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2006
Bob Taft,Ohio,1999 - 2007,Republican,2006
Mike Huckabee,Arkansas,1996 - 2007,Republican,2006
George E. Pataki,New York,1995 - 2007,Republican,2006
Dave Heineman,Nebraska,2005 - 2015,Republican,2005
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2005
Chris Gregoire,Washington,2005 - 2013,Democrat,2005
Matt Blunt,Missouri,2005 - 2009,Republican,2005
Mitch Daniels,Indiana,2005 - 2013,Republican,2005
John Lynch,New Hampshire,2005 - 2013,Democrat,2005
Jon Huntsman,Utah,2005 - 2009,Republican,2005
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2005
Brian Schweitzer,Montana,2005 - 2013,Democrat,2005
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2005
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2005
Haley Barbour,Mississippi,2004 - 2012,Republican,2005
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2005
Arnold Schwarzenegger,California,2003 - 2011,Republican,2005
Olene Smith Walker,Utah,2003 - 2005,Republican,2005
Joseph E. Kernan,Indiana,2003 - 2005,Democrat,2005
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2005
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2005
Bob Riley,Alabama,2003 - 2011,Republican,2005
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2005
Mark Sanford,South Carolina,2003 - 2011,Republican,2005
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2005
Sonny Perdue,Georgia,2003 - 2011,Republican,2005
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2005
Brad Henry,Oklahoma,2003 - 2011,Democrat,2005
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2005
Craig Benson,New Hampshire,2003 - 2005,Republican,2005
